"annee";"N";"GM";"GSD"
2014;365;0.000297603305785124;1
2015;365;0.000409456284153005;1
2016;365;0.000330247222222222;1
2017;365;0.000377838709677419;1
2018;365;0.000245708333333333;1
2019;365;0.000202131147540984;1
2020;365;0.000292524590163934;1
2021;365;0.00017633606557377;1
